product_name,price
Brazilian Blowout Acai Anti-Frizz Shampoo / Conditioner 12oz | *w. Color Guard,$24.98
BIOLAGE Hydrasource Shampoo/Detangler Gallon/Conditioning Balm 37oz CHOOSE YOURS,$49.99 to $195.99
"Mosaic Biotin Shampoo and Conditioner Set, 20.2 FL Oz Each",$21.99
PUREOLOGY Smooth Perfection Shampoo Conditioner Duo SET 33.8oz,$97.56
Matrix So Silver Purple Shampoo & Conditioner Combo - Neutralizes Yellow Tones,$29.99
Nexxus Color Assure Shampoo & Conditioner Set - 13.5 fl oz/ 2ct,$18.99
Oribe Signature Shampoo 1 Liter with pump - NFRS - Read Description,$90.99
AVEDA Cherry Almond Softening SHAMPOO Full Size 8.5 oz New Free USA Shipping,$17.99
R+Co Television Perfect Hair Shampoo 33.8 oz,$66.55
"Aesop Shampoo | 500mL/16.9 oz | Paraben, Cruelty-free & Vegan",$38.99
"REDKEN Acidic Color Gloss Shampoo,Conditioner,Treatment (CHOOSE YOURS)",$26.99 to $104.99
REDKEN All Soft Shampoo Conditioner Gallon(CHOOSE YOURS),$120.99 to $229.99
LOT OF 5 OUAI DETOX SHAMPOO ALL HAIR TYPES 1OZ*5 NEW,$12.99
Aveda Botanical Repair Strengthening Shampoo + Conditioner 3.4oz Ea NWOB Free Sh,$26.95
Zero% by Gilchrist & Soames Shampoo & Conditioner 15oz Brand New,$56.99
"2X Spartan Shampoo,Spartan Root Activator Shampoo,Natural Hair Regrōwth Shampoos",$15.99
Olaplex No. 4P Blonde Enhancer Toning Shampoo 8.5 Oz NEW,$19.98
Nioxin System 6 Cleanser 10.1 OZ,$18.90
Davines Love Shampoo 16.9 oz,$15.29
New ACQUA DI PARMA Hair Shampoo & Conditioner Set 150ml/5fl oz/Each ITALY,$27.21
Difeel Ultra Growth 2-in-1 Beard Shampoo & Conditioner 12 oz.,$12.99
Kenra Moisturizing Shampoo Hydration 33.8 Oz,$25.99
Living Proof Perfect Hair Day Advance Clean Dry Shampoo 9.9 Oz,$27.65
Neutrogena T-Gel Therapeutic Shampoo Original Formula Instant Treatmnt 8.5 Fl Oz,$29.99
"Ouidad VitalCurl+ Define & Shine Styling Gel-Cream, 6 oz.",$12.99
Nioxin System 4 Cleanser Shampoo and Scalp Therapy Conditioner 33.8oz Set / Dou,$46.88
Redken Extreme Shampoo 33.8 oz,$37.96
Redken-Color Extend Graydiant Shampoo 10.1 oz,$22.00
Celeb Luxury Viral & Gem Lites ColorWash & Conditioner 8.25oz Choose Yours !,$16.95
OUAI Fine Hair Shampoo 10 fl. oz.,$22.00
MOROCCANOIL EXTRA VOLUME SHAMPOO AND CONDITIONER LITERS DUO BRAND NEW,$84.65
Aveda Rosemary Mint 2 Pack! Shampoo and Conditioner Set - 12 Oz Size New!,$35.95
"(2 PACK)Wella Invigo Nutri-Enrich Deep Nourishing Shampoo & Conditioner Duo,33.8",$38.99
NEW - Monat Renew Shampoo Infused w/ Rejuveniqe 8 fl oz- FREE SHIPPING,$40.00
Spartan Root Activator Shampoo 250ml/ 8.5fl Oz New,$45.00
REDKEN All Soft Shampoo / Conditioner 10.1oz & Leave-in Treatment (CHOOSE YOURS),$45.95 to $59.99
Monat Black 2 in 1 Shampoo + Conditioner Infused Rejuvenique 8 oz *New*,$34.99
Oribe Signature Shampoo A daily Indulgence 250 ml 8.5 fl.oz,$29.99
Nourishing Shampoo,$10.00
"Paul Mitchell Clarifying Shampoo Two, 16.9 Ounce",$17.50
